             a_s;              fi;               F;            mean;             std;       corr_mean;   corr_std_koef
       -10.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.95000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.90000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.85000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.80000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.75000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.70000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.65000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.60000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.55000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.50000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.45000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.40000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.35000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.30000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.25000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.20000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.15000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.10000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.05000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -9.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -8.95000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -8.90000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
        -8.85000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000;         0.00000
