N;ln_N;      mean_delay;       std_delay;  mean_operation;  full_mean_oper;   std_operation;   sum_mean_oper;    sum_std_oper;;;t_d_Mean;t_d_Std;t_d_min;t_d_max;t_d_Mean(with risk - without risk);t_d_Std(with risk - without risk);;  mean_for_detail;std_for_detail;  mean_for_detail(with risk - without risk);std_for_detail(with risk - without risk);;mean_for_detail/t_d_Mean;std_for_detail/t_d_Std;std_for_detail/mean_for_detail_experiment;std_for_detail/mean_for_detail;delta_mean_per_mean;delta_std_per_std;delta_std_per_mean
1;0;0;0;0,28176;0,28176;0,32063;1,35614;0,53579;;;1,3596378;0,5358024;0,695728;4,4020556;0,3593236;0,529746755;;1,35614;0,53579;0,35614;0,529627287;;0,997427403;0,999976857;0,394077305;0,395084578;-0,002572597;-2,31429E-05;9,12008E-06
2;1;0,15764;0,58557;0,28176;0,4394;0,32063;1,35614;0,53579;;;0,9423822;0,3341198;0,4704363;2,505832;0,31508968;0,331376886;;0,89777;0,428008979;0,27221;0,424462626;;0,952660184;1,281004536;0,35454808;0,476746805;-0,047339816;0,281004536;-0,099629619
4;2;0,1476;0,33946;0,28176;0,42936;0,32063;1,35614;0,53579;;;0,7049523;0,2064728;0,3643424;1,7081837;0,2705942;0,204807627;;0,661055;0,242536207;0,23164;0,24047922;;0,937730113;1,174664204;0,292889037;0,36689263;-0,062269887;0,174664204;-0,05115723
8;3;0,1447;0,22269;0,28176;0,42646;0,32063;1,35614;0,53579;;;0,5661081;0,1286523;0,3067896;0,9794331;0,229885;0,127569126;;0,54267;0,145442856;0,21137125;0,144265955;;0,958597837;1,13051112;0,22725748;0,268013444;-0,041402163;0,13051112;-0,029659628
16;4;0,14409;0,15224;0,28176;0,42585;0,32063;1,35614;0,53579;;;0,4918704;0,0846494;0,2862959;0,8056374;0,2057953;0,083894943;;0,483993125;0,09221197;0,20113375;0,091533185;;0,98398506;1,089339914;0,172096959;0,190523306;-0,01601494;0,089339914;-0,015375127
32;5;0,14405;0,10591;0,28176;0,42581;0,32063;1,35614;0,53579;;;0,4511925;0,0565449;0,3267347;0,633301;0,1904667;0,056032424;;0,454882813;0,06109121;0,195976563;0,060680895;;1,00817902;1,080401769;0,125323227;0,134300985;0,00817902;0,080401769;-0,010076209
64;6;0,14405;0,0743;0,28176;0,42581;0,32063;1,35614;0,53579;;;0,4307689;0,0378997;0,3411159;0,5243055;0,182668;0,037453763;;0,440346406;0,041667772;0,193393281;0,041404824;;1,022233514;1,099422211;0,087981514;0,094624985;0,022233514;0,099422211;-0,008747317
128;7;0,14405;0,05233;0,28176;0,42581;0,32063;1,35614;0,53579;;;0,4206214;0,0246997;0,3630922;0,4835248;0,1788732;0,024345868;;0,433078203;0,028907209;0,192101641;0,028731325;;1,029615239;1,170346555;0,058721929;0,066748242;0,029615239;0,170346555;-0,010003078
256;8;0,14405;0,03693;0,28176;0,42581;0,32063;1,35614;0,53579;;;0,4150002;0,0187774;0,3776914;0,460574;0,1763845;0,018571979;;0,429444102;0,020240921;0,19145582;0,020120195;;1,034804565;1,077940549;0,045246725;0,047132842;0,034804565;0,077940549;-0,003526555
512;9;0,14405;0,02609;0,28176;0,42581;0,32063;1,35614;0,53579;;;0,4121587;0,0143847;0,3847624;0,4338765;0,1751082;0,014251792;;0,427627051;0,014241421;0,19113291;0,014157358;;1,037530084;0,990039485;0,034900877;0,033303368;0,037530084;-0,009960515;0,000347631
1024;10;0,14405;0,01844;0,28176;0,42581;0,32063;1,35614;0,53579;;;0,4123883;0,0074267;0,4015415;0,4243518;0,1761103;0,007322179;;0,426718525;0,010044979;0,190971455;0,009986001;;1,03474935;1,352549485;0,018008998;0,023540059;0,03474935;0,352549485;-0,006349063
